Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
813,BF-888S-13,463.525000,,0.000000,DTCS,88.5,88.5,465,RR,023,Tone->Tone,FM,5.00,,5.0W,,,,,
814,BF-888S-14,450.225000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
815,BF-888S-15,460.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
816,BF-888S-16,469.950000,,0.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
901,,452.125000,,0.000000,TSQL,88.5,69.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
902,,453.225000,,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
903,,454.325000,,0.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
904,,455.425000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
905,,456.525000,,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
906,,457.625000,,0.000000,TSQL,88.5,241.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
907,,458.725000,,0.000000,DTCS,88.5,88.5,025,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
908,,459.825000,,0.000000,DTCS,88.5,88.5,134,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
909,,461.925000,,0.000000,DTCS,88.5,88.5,274,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
910,,462.225000,,0.000000,DTCS,88.5,88.5,346,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
911,,463.325000,,0.000000,DTCS,88.5,88.5,503,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
912,,464.425000,,0.000000,DTCS,88.5,88.5,073,RR,023,Tone->Tone,FM,5.00,,5.0W,,,,,
913,,465.525000,,0.000000,DTCS,88.5,88.5,703,RR,023,Tone->Tone,FM,5.00,,5.0W,,,,,
914,,402.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
915,,437.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
916,,479.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
917,,138.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
918,,157.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
919,,172.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
920,,438.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
921,,155.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
